67,Bologna,IT,1,110,51,4450,1134,BLQ,LIPE,ITXX0006,4115
68,Bonn,DE,1,110,228,5074,710,BNJ,EDDK,GMXX0010,51
69,Bordeaux,FR,1,105,5,4484,-057,BOD,LFBD,FRXX0016,176
70,Boston; MA,US,1,35,617,4235,-7106,BOS,KBOS,USMA0046,106
71,Bournemouth,UK,1,85,1202,5073,-188,BOH,EGHH,UKXX0021,320
72,Brasilia,BR,1,65,61,-1552,-4755,BSB,SBBR,BRXX0043,7029
73,Bratislava,SK,1,95,7,4815,1711,BTS,LZIB,LOXX0001,4129
74,Brazzaville,CG,1,113,,-427,1529,BZV,FCBB,CFXX0001,125
75,Bremen,DE,1,110,421,5307,882,BRE,EDDW,GMXX0014,4131
76,Brest,FR,1,105,2,4850,-440,BES,LFRB,FRXX0019,177
77,Bridgeport; CT,US,1,35,203,4116,-7320,BDR,KBDR,USCT0019,403
78,Bridgetown,BB,1,55,246,1311,-5961,BGI,TBPB,BBXX0001,292
79,Brisbane; QLD,AU,1,260,7,-2753,15302,BNE,YBBN,ASXX0016,287
80,Brno,CZ,1,95,5,4916,1661,BRQ,LKTB,EZXX0002,4141
81,Brussels,BE,1,105,2,5085,435,BRU,EBBR,BEXX0005,37
82,Bucharest,RO,1,130,1,4443,2610,OTP,LROP,ROXX0003,62
83,Budapest,HU,1,95,1,4748,1911,BUD,LHBP,HUXX0002,59
85,Buenos Aires,AR,1,70,1,-3460,-5844,AEP,SABE,ARBA0009,111
86,Buffalo; NY,US,1,35,716,4279,-7882,BUF,KBUF,USNY0181,406
87,Bujumbura,BI,1,140,2,-337,2936,BJM,HBBA,BYXX0001,1100
88,Cagliari,IT,1,110,70,3923,911,CAG,LIEE,ITXX0010,218
89,Cairo,EG,1,120,2,3005,3123,CAI,HECA,EGXX0004,80
90,Calgary; AB,CA,1,10,403,5101,-11398,YYC,CYYC,CAXX0054,262
91,Cali,CO,1,45,2,345,-7652,CLO,SKCL,COXX0008,7036
92,Canberra,AU,1,255,62,-3533,14913,CBR,YSCB,ASXX0023,288
93,Cape Town,ZA,1,140,21,-3398,1848,CPT,FACT,SFXX0010,81
94,Caracas,VE,1,-2147483573,2,1050,-6690,CCS,SVMI,VEXX0008,112
95,Cardiff,UK,1,85,1222,5147,-317,CWL,EGFF,UKXX0030,4
96,Cedar Rapids; IA,US,1,20,319,4200,-9164,CID,KCID,USIA0138,6102
97,Charlotte; NC,US,1,35,704,3523,-8084,CLT,KCLT,USNC0121,6287
98,Charlottetown; PE,CA,1,50,902,4627,-6316,YYG,CYYG,CAXX0073,6111
99,Chengdu,CN,1,210,28,3065,10406,CTU,ZUUU,CHXX0016,2110
100,Chennai,IN,1,190,44,1307,8025,MAA,VOMM,INXX0202,2112
101,Chiba,JP,1,235,43,3558,14011,NRT,RJAA,JAXX0006,87
102,Chicago; IL,US,1,20,312,4185,-8765,ORD,KORD,USIL0225,6116
103,Chisinau,MD,1,125,2,4703,2884,KIV,LUKK,MDXX0001,4187
104,Chongqing,CN,1,210,23,2957,10656,CKG,ZUCK,CHXX0017,2128
105,Cincinnati; OH,US,1,35,513,3916,-8445,CVG,KCVG,USOH0188,413
106,Cleveland; OH,US,1,35,216,4149,-8169,CLE,KCLE,USOH0195,415
107,Colorado Springs; CO,US,1,10,719,3883,-10482,COS,KCOS,USCO0078,416
108,Columbus; GA,US,1,35,706,3246,-8498,CSG,KCSG,USGA0132,457
109,Columbus; OH,US,1,35,614,3996,-8299,CMH,KCMH,USOH0212,417
110,Conakry,GN,1,90,,955,-1367,CKY,GUCY,GVXX0002,1125
111,Copenhagen,DK,1,105,,5570,1258,CPH,EKCH,DAXX0009,35
112,Cork,IE,1,85,21,5190,-846,ORK,EICK,EIXX0011,211
113,Corpus Christi; TX,US,1,20,512,2780,-9739,CRP,KCRP,USTX0294,419
114,Curitiba,BR,1,65,41,-2543,-4928,CWB,SBCT,BRXX0079,7083
115,Dakar,SN,1,90,,1467,-1744,DKR,GOOY,SGXX0001,119
116,Dallas; TX,US,1,20,214,3279,-9677,DFW,KDFW,USTX0327,263
117,Damascus,SY,1,1007,11,3351,3630,DAM,OSDI,SYXX0004,250
118,Dar es Salaam,TZ,1,155,51,-682,3928,DAR,HTDA,TZXX0001,120
119,Darwin; NT,AU,1,245,89,-1243,13085,DRW,YPDN,ASXX0032,97
120,Dayton; OH,US,1,35,513,3974,-8417,DAY,KDAY,USOH0245,423
121,Delhi,IN,1,190,11,2873,7746,DEL,VIDP,INXX0038,84
122,Denver; CO,US,1,10,303,3976,-10499,DEN,KDEN,USCO0105,104
123,Des Moines; IA,US,1,20,515,4160,-9360,DSM,KDSM,USIA0231,425
124,Detroit; MI,US,1,35,313,4234,-8304,DTW,KDTW,USMI0229,6166
125,Dhaka,BD,1,1001,2,2371,9041,DAC,VGZR,BGXX0003,2156
126,Dijon,FR,1,105,3,4732,504,DIJ,LFSD,FRXX0036,179
127,Djibouti,DJ,1,155,,1159,4315,JIB,HDAM,DJXX0001,1143
128,Doha,QA,1,150,,2530,5151,DOH,OTBD,QAXX0003,2667
129,Dortmund,DE,1,110,231,5150,750,DTM,EDLW,GMXX0024,4232
130,Dresden,DE,1,110,351,5106,1373,DRS,EDDC,GMXX0025,186
131,Dublin,IE,1,85,1,5335,-624,DUB,EIDW,EIXX0014,31
132,Dushanbe,TJ,1,185,3772,3857,6878,DYU,UTDD,TIXX0001,147
133,Dusseldorf,DE,1,110,211,5120,673,DUS,EDDL,GMXX0028,187
134,Edinburgh,UK,1,85,131,5594,-320,EDI,EGPH,UKXX0052,5
135,Edmonton; AB,CA,1,10,403,5355,-11350,YEG,CYEG,CAXX0126,265
136,El Paso; TX,US,1,10,915,3175,-10648,ELP,KELP,USTX0413,6178
137,Erfurt,DE,1,110,361,5099,1103,ERF,EDDE,GMXX0033,4398
138,Eugene; OR,US,1,4,541,4407,-12307,EUG,KEUG,USOR0118,429
139,Evansville; IN,US,1,20,812,3797,-8755,EVV,KEVV,USIN0190,456
140,Florence,IT,1,110,55,4377,1125,FLR,LIRQ,ITXX0028,220
141,Fort Defiance; AZ,US,1,15,520,3590,-10916,,KGUP,USAZ0072,436
142,Fort Lauderdale; FL,US,1,35,954,2612,-8014,FLL,KFLL,USFL0149,432
143,Fort Wayne; IN,US,1,35,219,4113,-8512,FWA,KFWA,USIN0211,497
144,Fort Worth; TX,US,1,20,817,3272,-9732,DFW,KDFW,USTX0474,263
145,Fortaleza,BR,1,65,85,-374,-3852,FOR,SBFZ,BRXX0093,7099
146,Frankfurt,DE,1,110,69,5010,866,FRA,EDDF,GMXX0185,52
147,Freetown,SL,1,90,22,848,-1323,FNA,GFLL,SLXX0001,1175
148,Freiburg,DE,1,110,761,4799,785,QFB,EDTL,GMXX0041,4079
149,Fremont; CA,US,1,4,510,3756,-12200,OAK,KOAK,USCA0403,105
150,Fresno; CA,US,1,4,209,3674,-11977,FAT,KFAT,USCA0406,435
151,Fukuoka,JP,1,235,92,3356,13040,FUK,RJFF,JAXX0009,2182
152,Gaborone,BW,1,140,,-2465,2591,GBE,FBSK,BCXX0001,1177
153,Galway,IE,1,85,91,5327,-905,GWY,EIKN,EIXX0017,209
154,Geneva,CH,1,110,22,4614,604,GVA,LSGG,SZXX0013,39
155,Genova,IT,1,110,10,4442,893,GOA,LIMJ,ITXX0031,221
156,George Town,KY,1,45,345,1933,-8140,CYB,MWCR,CJXX0001,6228
157,Georgetown,GY,1,55,2,680,-5815,GEO,SYCJ,GYXX0001,7102
158,Glasgow,UK,1,85,141,5584,-424,GLA,EGPF,UKXX0061,6
159,Glendale; CA,US,1,4,818,3414,-11825,JGX,KBUR,USCA0423,100
160,Granada,ES,1,105,958,3718,-360,GRX,LEGR,SPXX0040,4664
161,Grand Rapids; MI,US,1,35,616,4295,-8568,GRR,KGRR,USMI0344,439
162,Guadalajara,MX,1,-2147483581,3,2066,-10333,GDL,MMGL,MXJO0043,6317
163,Guangzhou,CN,1,210,20,2312,11323,CAN,ZGGG,CHXX0037,2199
164,Guatemala City,GT,1,33,2,1461,-9055,GUA,MGGT,GTXX0002,6569
165,Haikou,CN,1,210,898,2004,11034,HAK,ZJSY,CHXX0502,2206
166,Halifax; NS,CA,1,50,902,4440,-6334,YHZ,CYHZ,CAXX0183,441
167,Hamburg,DE,1,110,40,5356,1001,HAM,EDDH,GMXX0049,49
168,Hamilton,BM,1,50,441,3229,-6477,BDA,TXKF,BDXX0002,294
169,Hannover,DE,1,110,511,5239,975,HAJ,EDDV,GMXX0051,522
170,Hanoi,VN,1,205,4,2102,10585,HAN,VVNB,VMXX0006,2219
171,Harare,ZW,1,140,4,-1782,3105,HRE,FVHA,ZIXX0004,122
172,Harbin,CN,1,210,451,4575,12662,HRB,ZYHB,CHXX0046,2221
173,Hartford; CT,US,1,35,860,4176,-7268,BDL,KBDL,USCT0094,443
174,Havana,CU,1,1002,7,2313,-8237,HAV,MUHA,CUXX0003,297
175,Helsinki,FI,1,125,9,6010,2453,HEL,EFHK,FIXX0002,4422
176,Hiroshima,JP,1,235,82,3436,13247,HIJ,RJOA,JAXX0018,2227
177,Hobart; TAS,AU,1,265,2,-4284,14729,HBA,YMHB,ASXX0057,3040
178,Hong Kong SAR,CN,1,210,,2244,11409,HKG,VHHH,CHXX0049,2232
179,Honiara,SB,1,280,,-943,15994,HIR,AGGH,BPXX0001,3047
180,Honolulu; HI,US,1,2,808,2130,-15785,HNL,PHNL,USHI0026,267
181,Houston; TX,US,1,20,713,2976,-9536,IAH,KIAH,USTX0617,268
182,Hull; PQ,CA,1,35,819,4527,-7545,YND,CYND,CAXX0194,475
183,Huntsville; AL,US,1,20,205,3471,-8656,HSV,KHSV,USAL0287,400
184,Indianapolis; IN,US,1,35,317,3976,-8615,IND,KIND,USIN0305,269
185,Irkutsk,RU,1,227,3952,5233,10425,IKT,UIII,RSXX0038,2253
186,Islamabad,PK,1,185,51,3371,7309,ISB,OPRN,PKXX0006,2255
187,Istanbul,TR,1,1000,212,4101,2896,IST,LTBA,TUXX0014,74
188,Jackson; MS,US,1,20,601,3229,-9018,JAN,KJAN,USMS0175,467
189,Jacksonville; FL,US,1,35,904,3033,-8165,JAX,KJAX,USFL0228,270
190,Jakarta,ID,1,205,21,-616,10681,CGK,WIII,IDXX0022,150
191,Jerusalem,IL,1,135,2,3178,3521,JRS,LLJR,ISXX0010,4441
192,Kabul,AF,1,175,,3453,6916,KBL,OAKB,AFXX0003,2287
193,Kampala,UG,1,155,41,032,3257,EBB,HUEN,UGXX0002,1163
194,Kanazawa,JP,1,235,762,3656,13665,KMQ,RJNK,JAXX0030,2181
