72,Brasilia,BR,65,61,-1552,-4755,BSB,SBBR,America/Sao_Paulo
73,Bratislava,SK,95,7,4815,1711,BTS,LZIB,Europe/Bratislava
74,Brazzaville,CG,113,,-427,1529,BZV,FCBB,Africa/Brazzaville
75,Bremen,DE,110,421,5307,882,BRE,EDDW,Europe/Berlin
76,Brest,FR,105,2,4850,-440,BES,LFRB,Europe/Paris
77,Bridgeport; CT,US,35,203,4116,-7320,BDR,KBDR,America/New_York
78,Bridgetown,BB,55,246,1311,-5961,BGI,TBPB,America/Barbados
79,Brisbane; QLD,AU,260,7,-2753,15302,BNE,YBBN,Australia/Brisbane
80,Brno,CZ,95,5,4916,1661,BRQ,LKTB,Europe/Prague
81,Brussels,BE,105,2,5085,435,BRU,EBBR,Europe/Brussels
82,Bucharest,RO,130,1,4443,2610,OTP,LROP,Europe/Bucharest
83,Budapest,HU,95,1,4748,1911,BUD,LHBP,Europe/Budapest
85,Buenos Aires,AR,70,1,-3460,-5844,AEP,SABE,America/Argentina/Buenos_Aires
86,Buffalo; NY,US,35,716,4279,-7882,BUF,KBUF,America/New_York
87,Bujumbura,BI,140,2,-337,2936,BJM,HBBA,Africa/Bujumbura
88,Cagliari,IT,110,70,3923,911,CAG,LIEE,Europe/Rome
89,Cairo,EG,120,2,3005,3123,CAI,HECA,Africa/Cairo
90,Calgary; AB,CA,10,403,5101,-11398,YYC,CYYC,America/Edmonton
91,Cali,CO,45,2,345,-7652,CLO,SKCL,America/Bogota
92,Canberra,AU,255,62,-3533,14913,CBR,YSCB,Australia/Sydney
93,Cape Town,ZA,140,21,-3398,1848,CPT,FACT,Africa/Johannesburg
94,Caracas,VE,-2147483573,2,1050,-6690,CCS,SVMI,America/Caracas
95,Cardiff,UK,85,1222,5147,-317,CWL,EGFF,Europe/London
96,Cedar Rapids; IA,US,20,319,4200,-9164,CID,KCID,America/Chicago
97,Charlotte; NC,US,35,704,3523,-8084,CLT,KCLT,America/New_York
98,Charlottetown; PE,CA,50,902,4627,-6316,YYG,CYYG,America/Halifax
99,Chengdu,CN,210,28,3065,10406,CTU,ZUUU,Asia/Shanghai
100,Chennai,IN,190,44,1307,8025,MAA,VOMM,Asia/Kolkata
101,Chiba,JP,235,43,3558,14011,NRT,RJAA,Asia/Tokyo
102,Chicago; IL,US,20,312,4185,-8765,ORD,KORD,America/Chicago
103,Chisinau,MD,125,2,4703,2884,KIV,LUKK,Europe/Chisinau
104,Chongqing,CN,210,23,2957,10656,CKG,ZUCK,Asia/Shanghai
105,Cincinnati; OH,US,35,513,3916,-8445,CVG,KCVG,America/New_York
106,Cleveland; OH,US,35,216,4149,-8169,CLE,KCLE,America/New_York
107,Colorado Springs; CO,US,10,719,3883,-10482,COS,KCOS,America/Denver
108,Columbus; GA,US,35,706,3246,-8498,CSG,KCSG,America/New_York
109,Columbus; OH,US,35,614,3996,-8299,CMH,KCMH,America/New_York
110,Conakry,GN,90,,955,-1367,CKY,GUCY,Africa/Conakry
111,Copenhagen,DK,105,,5570,1258,CPH,EKCH,Europe/Copenhagen
